Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio
IOL Chemicals and Pharmaceuticals Ltd,IOLCP,Commodity Chemicals,3723.396464,634.25,9.986686081
HMT Ltd,HMT,Industrial Machinery,3696.561335,30.7,4.398988737
Tata Steel Long Products Ltd,TATASTLLP,Iron & Steel,3692.5625,818.75,-5.007499774
Isgec Heavy Engineering Ltd,ISGEC,,3645.593106,495.8,24.89819086
Nesco Ltd,NESCO,Real Estate,3645.246031,517.35,15.58463459
Orient Refractories Ltd,ORIENTREF,Cement,3640.818456,303.05,41.9111138
Gulf Oil Lubricants India Ltd,GULFOILLUB,Commodity Chemicals,3639.642731,723.45,17.84298927
Gujarat State Fertilizers and Chemicals Ltd,GSFC,Fertilizers & Agro Chemicals,3590.282545,90.1,32.76104157
Mishra Dhatu Nigam Ltd,MIDHANI,Metals - Diversified,3581.9408,191.2,22.65330635
Caplin Point Laboratories Ltd,CAPLIPOINT,Pharmaceuticals,3581.684213,473.5,16.65624343
Privi Speciality Chemicals Ltd,PRIVISCL,Specialty Chemicals,3571.50321,914.3,126.9730463
Nippon India Nifty 50 Bees ETF,NIFTYBEES,Equity,3541.054177,158.78,
Jindal Poly Films Ltd,JINDALPOLY,Packaging,3533.563529,807,7.47891213
Phillips Carbon Black Ltd,PHILIPCARB,Commodity Chemicals,3509.652373,203.65,12.24798646
Apollo Tricoat Tubes Ltd,APOLLOTRI,,3500.256,1151.4,79.14853289
Techno Electric & Engineering Company Ltd,TECHNOE,Construction & Engineering,3483.15,316.65,19.68519876
Dhanuka Agritech Ltd,DHANUKA,Fertilizers & Agro Chemicals,3471.715379,745.35,25.08666086
Mastek Ltd,MASTEK,IT Services & Consulting,3438.671394,1362.65,30.20603942
Meghmani Organics Ltd,MEGH,Commodity Chemicals,3425.612422,134.7,14.2644698
ICRA Ltd,ICRA,Stock Exchanges & Ratings,3367.036928,3500.3,35.12393831
TCI Express Ltd,TCIEXP,Logistics,3349.953199,871.6,37.5067958
Kaveri Seed Company Ltd,KSCL,Seeds,3310.750563,556.9,13.27039343
Swan Energy Ltd,SWANENERGY,Textiles,3291.363075,134.75,-563.5895676
Triveni Turbine Ltd,TRITURBINE,Heavy Electrical Equipments,3279.934135,101.45,26.93327423
Jindal Stainless (Hisar) Ltd,JSLHISAR,Iron & Steel,3271.234408,138.65,8.326505988
HFCL Ltd,HFCL,Telecom Equipments,3255.896187,25.35,14.27222842
KSB Ltd,KSB,Industrial Machinery,3250.008394,933.7,34.65566639
CCL Products India Ltd,CCL,Tea & Coffee,3245.216108,243.95,19.55656327
Gujarat Ambuja Exports Ltd,GAEL,Agro Products,3191.201117,139.15,21.88048227
India Tourism Development Corp Ltd,ITDC,Tour & Travel Services,3189.763986,371.9,152.8396735
Borosil Renewables Ltd,BORORENEW,Health Care Equipment & Supplies,3172.552649,243.95,12762.67978
Paisalo Digital Ltd,PAISALO,Consumer Finance,3168.531549,749.2,57.36474269
Magma Fincorp Ltd,MAGMA,Consumer Finance,3163.952115,117.35,116.8813696
MTAR Technologies Ltd,MTARTECH,Industrial Machinery,3163.16254,1028.35,90.27823067
DCB Bank Ltd,DCBBANK,Private Banks,3156.599589,101.65,9.324293332
Shilpa Medicare Ltd,SHILPAMED,Pharmaceuticals,3153.868049,386.85,20.20026957
Allcargo Logistics Ltd,ALLCARGO,Logistics,3153.502051,128.35,14.1412648
IRB InvIT Fund,IRBINVIT,Roads,3130.056,53.92,18.12439467
INOX Leisure Ltd,INOXLEISUR,Theatres,3094.336464,275.1,188.2175796
Greaves Cotton Ltd,GREAVESCOT,Industrial Machinery,3081.986577,133.3,24.53070819
Ge T&D India Ltd,GET&D,Heavy Electrical Equipments,3077.679351,120.2,-10.172129
Neuland Laboratories Ltd,NEULANDLAB,Pharmaceuticals,3063.456746,2387.75,190.0255559
Craftsman Automation Ltd,CRAFTSMAN,Industrial Machinery,3052.618373,1444.8,70.7684705
TCNS Clothing Co Ltd,TCNSBRANDS,Apparel & Accessories,3051.208338,495.95,43.86464067
Chalet Hotels Ltd,CHALET,"Hotels, Resorts & Cruise Lines",3034.353187,148,30.45621989
Gujarat Alkalies And Chemicals Ltd,GUJALKALI,Commodity Chemicals,3032.210757,412.9,9.131056156
Saregama India Ltd,SAREGAMA,Movies & TV Serials,3028.814205,1737.9,68.89208045
Nocil Ltd,NOCIL,Commodity Chemicals,3001.917488,180.6,22.87559355
Tata Metaliks Ltd,TATAMETALI,Iron & Steel,2986.284175,945.7,16.00481139
Nilkamal Ltd,NILKAMAL,Plastic Products,2943.318831,1972.4,20.71592646
JK Tyre & Industries Ltd,JKTYRE,Tires & Rubber,2937.534398,119.3,19.48483947
Indoco Remedies Ltd,INDOCO,Pharmaceuticals,2922.548509,317.15,121.2172754
ELANTAS Beck India Ltd,ELANTAS,,2906.446775,3666.2,47.05686048
National Fertilizers Ltd,NFL,Fertilizers & Agro Chemicals,2879.695208,58.7,-15.90464602
ESAB India Ltd,ESABINDIA,Industrial Machinery,2874.72345,1867.55,40.25659502
Jamna Auto Industries Ltd,JAMNAAUTO,Auto Parts,2868.939972,72,59.86327693
